id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
585,2,16,2,12,3,4,1,8,3,7,3,7,3,4,7,12,7,16,8,2,1,1,2,0,0,28,20,0,1,2,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,17,5,20,5,3,0,32,27
586,1,40,2,24,1,7,4,12,3,8,3,7,4,7,8,40,7,-15,1,2,1,2,1,0,0,7,20,0,2,2,NULL,NULL,NULL,2,2,1,2,2,3,1,2,3,20,5,20,10,0,5,71,43
587,2,16,1,8,2,7,2,52,3,6,1,3,2,7,3,8,52,16,6,1,2,1,2,0,1,2,26,0,2,5,NULL,NULL,NULL,1,3,0,0,0,0,0,1,2,20,10,22,15,2,5,31,63
588,1,50,4,16,4,6,2,42,4,12,1,7,4,6,7,50,42,16,12,2,1,1,0,0,0,23,7,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,22,15,23,15,1,0,72,65
589,2,7,1,6,2,6,1,12,3,8,2,3,1,6,3,6,1,-15,1,1,2,2,0,2,0,0,26,0,2,1,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,23,15,23,17,0,2,19,21
591,1,40,2,24,1,3,4,24,1,6,4,1,2,3,6,40,1,24,24,2,1,0,1,0,0,29,23,2,1,1,NULL,NULL,NULL,1,3,2,3,0,0,0,2,3,0,2,1,5,1,3,67,49
592,2,16,2,7,3,3,4,24,2,6,3,4,3,7,4,3,6,16,24,1,2,2,1,0,0,22,30,0,2,2,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,1,5,1,8,0,3,26,35
593,1,12,2,4,3,1,3,16,4,7,2,4,3,1,4,12,7,4,16,2,1,2,0,0,0,7,27,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,1,8,1,9,0,1,17,24
594,2,24,2,6,2,3,2,24,3,12,1,1,1,3,1,6,12,24,24,1,2,0,2,0,0,29,27,0,2,2,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,1,9,2,11,1,2,33,31
595,1,50,4,8,4,1,1,52,3,7,1,6,4,1,6,8,7,50,52,2,1,2,0,0,1,25,21,2,1,1,NULL,NULL,NULL,1,2,2,3,0,0,0,2,3,2,11,3,14,1,3,59,66
596,2,24,1,24,3,8,1,16,3,16,2,12,3,24,12,8,16,24,16,1,2,1,1,0,0,23,2,2,1,1,NULL,NULL,NULL,2,3,0,0,0,0,0,1,2,3,14,6,14,3,0,56,52
597,1,42,1,16,4,8,4,7,3,6,3,1,3,-46,1,-46,1,-46,1,1,1,1,0,0,0,7,24,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,6,14,7,14,1,0,66,24
598,2,16,4,16,3,12,3,42,2,16,1,6,1,16,6,12,16,16,42,1,2,2,2,0,0,2,27,1,2,1,NULL,NULL,NULL,2,3,0,0,0,0,0,2,2,7,14,7,17,0,3,44,64
599,1,8,1,8,4,6,1,8,2,7,3,3,3,6,7,8,3,-46,1,2,1,1,0,0,0,0,26,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,7,17,8,17,1,0,22,19
600,1,24,4,16,4,7,1,42,1,6,1,1,4,7,6,16,42,24,1,1,2,1,1,0,0,23,27,0,1,2,NULL,NULL,NULL,2,2,0,0,0,0,0,1,2,8,20,12,20,4,0,47,59
601,2,24,2,8,1,3,3,52,3,16,1,1,2,3,1,-46,1,-46,1,1,1,1,0,0,0,6,4,0,0,0,NULL,NULL,NULL,1,2,0,0,0,0,2,1,1,12,20,13,20,1,0,35,61
602,1,16,4,8,1,6,3,24,3,7,3,2,1,-46,1,-46,1,-46,1,1,1,1,0,0,0,2,23,0,0,0,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,13,20,14,20,1,0,30,34
603,2,42,1,16,4,16,4,40,3,2,2,1,4,16,1,42,40,-46,NULL,1,1,1,0,0,0,7,29,0,0,0,NULL,NULL,NULL,1,2,2,2,0,0,0,1,3,14,20,17,20,3,0,74,57
604,2,24,1,12,3,4,3,8,2,7,1,6,4,24,6,4,7,12,8,1,2,1,0,0,0,7,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,20,20,21,20,1,0,40,26
605,1,42,1,12,2,7,4,50,3,16,4,3,4,7,50,12,3,42,16,2,1,1,0,0,0,7,29,0,0,0,2,NULL,NULL,0,0,0,0,0,0,0,1,1,21,20,22,23,1,3,61,65
607,1,52,1,24,1,2,3,8,2,7,4,3,2,24,3,2,7,52,8,1,2,1,0,0,0,26,6,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,0,1,2,0,0,2,0,2,0,78,35
608,2,8,1,7,4,3,1,8,2,7,3,3,1,3,8,8,7,7,3,2,1,1,2,0,0,6,26,1,2,1,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,2,0,3,1,1,1,18,18
609,1,24,1,6,4,2,3,40,4,16,2,3,3,6,16,-15,1,-15,1,2,2,2,1,0,0,25,28,0,2,2,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,3,1,3,4,0,3,32,49
610,2,50,4,24,1,24,3,16,4,4,2,3,1,-46,16,-46,1,-46,1,1,1,1,1,0,0,24,7,2,1,1,NULL,NULL,NULL,1,1,0,0,0,0,2,1,1,3,4,5,4,2,0,98,43
611,1,16,4,8,3,2,1,12,2,1,3,1,4,8,12,-15,1,-15,1,2,2,2,0,0,0,5,4,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,1,2,1,5,4,5,5,0,1,26,21
612,2,8,2,6,3,1,2,50,1,16,4,3,1,1,16,6,3,8,50,2,1,2,0,0,0,4,6,0,0,0,NULL,NULL,NULL,2,2,0,0,0,0,0,2,2,5,5,5,7,0,2,15,59
613,1,52,1,7,3,3,1,40,4,24,2,2,4,7,2,52,1,-46,1,1,1,1,0,0,0,6,7,0,0,0,NULL,NULL,NULL,1,2,0,0,0,0,0,1,2,5,7,7,7,2,0,62,49
614,2,52,1,24,2,16,2,16,3,3,4,2,4,24,16,16,1,-46,1,1,1,1,2,0,0,3,27,0,2,2,NULL,NULL,NULL,0,0,0,0,0,0,0,1,1,7,7,8,9,1,2,92,42
615,1,7,3,4,3,2,2,7,4,3,4,2,1,4,7,7,2,-15,1,2,1,2,1,0,0,25,6,2,1,1,NULL,NULL,NULL,2,3,0,0,0,0,1,2,1,8,9,9,10,1,1,13,13
616,2,16,2,16,1,3,4,42,1,16,1,8,1,3,16,16,8,16,42,2,1,2,1,0,0,28,27,0,1,2,NULL,NULL,NULL,1,3,2,3,0,0,0,2,3,9,10,11,13,2,3,35,66
617,1,12,2,3,2,2,1,24,3,8,3,2,3,3,8,-10,24,-10,0,2,2,2,1,0,0,26,28,0,2,2,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,11,13,11,16,0,3,17,29
618,2,8,4,7,1,1,3,12,2,6,2,1,2,7,6,1,12,-46,1,1,2,1,0,0,0,4,25,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,11,16,12,16,1,0,16,20
619,1,8,1,8,3,1,2,52,2,24,1,7,3,8,7,1,52,8,24,1,2,2,0,0,0,4,3,0,0,0,NULL,NULL,NULL,2,3,0,0,0,0,0,2,2,12,16,12,18,0,2,17,67
620,2,24,1,8,2,3,3,16,4,7,4,3,3,8,7,3,16,-46,3,1,2,1,0,0,0,6,26,0,0,0,NULL,NULL,NULL,1,3,0,0,0,0,2,1,1,12,18,13,18,1,0,35,27
621,1,42,1,8,2,3,1,40,1,7,2,4,4,8,4,3,7,42,40,1,2,1,0,0,0,27,7,0,0,0,NULL,NULL,NULL,1,2,2,3,0,0,0,1,3,13,18,16,18,3,0,53,52
622,2,42,1,24,2,24,3,16,4,8,4,1,4,24,1,-46,1,-46,1,1,1,1,2,0,0,7,26,1,2,1,NULL,NULL,NULL,1,2,0,0,0,0,2,1,1,16,18,17,19,1,1,90,41
623,1,7,1,3,4,3,1,24,1,8,3,6,3,3,6,-10,8,-10,0,2,2,2,1,0,0,26,23,2,1,1,NULL,NULL,NULL,0,0,0,0,0,0,0,2,1,17,19,18,20,1,1,13,33
