,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
749,790,1,24,1,24,3,12,1,50,2,7,4,2,2,10,9,9.0,11.0,10,10.0,1,2,1,0,0,0,3,5,0,0,0,,,,1,2,0,0,0,0,0,1,2,18,18,20,18,2,0,60,76
750,791,2,16,1,4,1,1,2,24,4,16,2,2,3,9,11,8.0,10.0,8,0.0,2,2,2,2,0,0,26,25,0,1,2,,,,0,0,0,0,0,0,0,2,1,20,18,22,19,2,1,21,30
751,792,2,16,2,6,3,3,3,40,1,16,2,3,1,9,11,10.0,9.0,11,10.0,2,1,0,0,0,0,6,7,0,0,0,,,,2,3,0,0,0,0,0,2,2,22,21,22,23,0,2,25,49
752,793,1,50,4,16,3,12,2,42,2,8,1,2,1,10,11,8.0,9.0,8,1.0,2,1,1,0,0,2,2,32,1,2,1,,,,1,2,0,0,0,0,2,1,1,22,23,23,24,1,1,78,60
753,795,1,52,1,24,1,8,3,16,1,12,2,2,4,10,9,9.0,10.0,11,11.0,1,2,1,0,0,0,24,5,0,0,0,1.0,,,2,3,1,3,0,0,0,1,3,2,0,8,0,6,0,84,42
754,796,2,7,3,3,1,1,4,52,1,8,1,6,4,11,9,10.0,10.0,8,1.0,1,2,2,1,0,0,30,20,2,1,1,,,,2,3,0,0,0,0,1,2,1,8,0,9,1,1,1,11,61
755,797,1,40,2,24,3,4,2,16,1,7,1,2,3,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,7,5,1,2,1,,,,1,3,0,0,0,0,0,1,2,9,1,11,2,2,1,68,42
756,798,2,7,4,7,2,3,3,4,2,3,4,2,4,10,10,10.0,1.0,8,1.0,1,1,1,1,0,0,26,32,0,2,2,,,,0,0,0,0,0,0,0,1,1,11,2,12,4,1,2,17,13
757,799,1,42,1,3,2,1,4,6,2,3,4,2,1,10,11,8.0,9.0,8,0.0,2,2,2,1,0,0,30,26,2,1,1,,,,0,0,0,0,0,0,0,2,1,12,4,13,5,1,1,46,11
758,800,2,24,3,8,4,7,1,24,2,8,1,6,3,9,11,11.0,10.0,10,9.0,2,1,1,0,0,0,3,23,0,0,0,,,,1,3,0,0,0,0,0,1,2,13,5,15,5,2,0,39,38
759,801,2,24,4,6,2,3,4,4,4,3,3,2,3,9,9,10.0,1.0,8,1.0,1,1,1,2,0,0,23,32,1,2,1,,,,0,0,0,0,0,0,0,1,1,15,7,16,8,1,1,33,12
760,802,1,12,3,7,1,1,2,8,3,2,1,1,2,11,9,9.0,10.0,8,9.0,1,2,2,2,0,0,21,29,1,2,1,,,,2,3,0,0,0,0,1,2,1,16,8,16,10,0,2,20,16
761,803,1,40,2,12,1,8,4,8,2,7,4,7,2,11,9,10.0,1.0,8,1.0,1,1,1,0,0,1,28,20,2,1,1,,,,1,1,0,0,0,0,0,1,2,0,0,3,0,3,0,60,27
762,804,2,7,4,7,3,2,2,24,1,16,1,4,3,9,11,10.0,9.0,10,10.0,2,1,2,0,0,1,5,7,2,1,1,,,,1,2,2,3,1,3,0,2,4,3,0,4,4,1,4,16,35
763,805,1,52,1,24,2,12,2,16,1,6,4,2,4,10,9,9.0,11.0,11,10.0,1,2,1,0,0,2,24,27,0,1,3,,,,1,2,0,0,0,0,0,1,2,4,4,9,4,5,0,88,42
764,806,2,24,4,6,2,1,2,16,1,7,2,2,4,11,11,8.0,1.0,8,1.0,1,1,1,0,0,1,4,22,2,1,1,,,,1,2,0,0,0,0,2,1,1,9,4,11,4,2,0,31,24
765,807,1,50,4,24,4,7,3,24,4,8,3,8,2,10,9,9.0,9.0,11,11.0,1,2,1,0,0,0,24,23,0,0,0,1.0,,,1,2,2,2,1,2,0,1,4,11,4,18,4,7,0,81,56
766,808,2,24,4,12,4,1,4,16,2,4,2,1,1,8,9,8.0,9.0,8,9.0,1,1,1,0,0,0,27,7,0,0,0,,,,0,0,0,0,0,0,0,1,1,18,4,19,4,1,0,37,29
767,809,1,3,3,2,3,1,1,16,2,2,1,2,4,9,9,11.0,9.0,10,11.0,2,1,2,0,0,1,30,27,0,1,3,,,,1,3,2,3,1,3,0,2,4,19,4,22,8,3,4,6,20
768,810,2,7,2,3,3,1,2,52,1,40,1,6,2,9,10,11.0,9.0,10,11.0,2,1,2,0,0,2,6,27,0,2,3,,,,2,1,1,2,2,2,0,2,4,22,8,22,15,0,7,11,61
769,811,1,42,1,8,3,3,2,24,3,7,1,6,2,11,9,10.0,11.0,9,10.0,1,2,2,0,0,1,26,20,2,1,1,,,,1,3,0,0,0,0,0,2,2,22,15,23,17,1,2,53,38
770,812,2,16,2,8,1,2,2,16,1,7,4,1,4,8,9,8.0,9.0,8,9.0,1,1,1,2,0,0,25,26,0,2,2,,,,0,0,0,0,0,0,0,1,1,23,17,24,19,1,2,26,25
771,813,2,40,2,16,3,4,2,6,3,3,2,1,3,9,9,10.0,10.0,8,,1,1,1,1,0,2,29,26,0,1,5,,,,0,0,0,0,0,0,0,1,1,0,0,6,0,6,0,60,23
772,814,1,16,1,3,4,1,3,16,4,6,3,3,1,10,10,11.0,9.0,8,1.0,2,1,2,1,0,0,30,22,0,1,2,,,,2,3,0,0,0,0,1,2,1,6,0,8,1,2,1,20,22
773,815,2,8,1,2,2,1,1,40,3,7,2,6,2,11,9,10.0,11.0,9,10.0,1,2,2,2,0,0,5,27,1,2,1,,,,1,2,0,0,0,0,0,2,2,8,1,8,4,0,3,11,48
774,816,1,7,4,3,1,3,2,50,3,40,4,16,1,9,11,9.0,9.0,8,,2,2,2,0,0,0,6,7,0,0,0,,,,0,0,0,0,0,0,0,2,1,8,4,8,5,0,1,13,69
775,817,2,50,4,24,3,3,2,4,1,3,4,2,3,9,9,11.0,11.0,8,,1,1,1,0,0,0,6,7,0,0,0,,,,0,0,0,0,0,0,0,1,1,8,5,9,5,1,0,77,30
776,818,1,12,3,3,3,1,4,8,1,4,4,2,1,9,9,11.0,11.0,10,10.0,2,1,2,1,0,0,25,27,2,1,1,,,,0,0,0,0,0,0,0,2,1,9,5,10,6,1,1,16,13
777,819,2,8,3,8,1,6,4,24,1,6,4,2,1,9,9,10.0,11.0,8,10.0,1,2,1,0,0,0,20,23,0,0,0,,,,1,3,0,0,0,0,2,1,1,10,6,11,6,1,0,22,34
778,820,1,24,4,6,2,1,4,50,2,8,4,2,1,10,10,11.0,9.0,9,11.0,2,1,2,1,0,0,24,21,0,1,2,,,,1,3,0,0,0,0,0,2,2,11,6,13,8,2,2,31,58
779,821,2,42,1,12,4,3,3,16,3,8,2,8,1,10,9,11.0,11.0,8,,1,1,1,0,0,0,7,2,0,0,0,,,,1,2,2,2,0,0,0,1,3,13,8,16,8,3,0,57,36
780,822,1,52,1,3,3,2,3,16,3,6,3,4,3,9,9,11.0,10.0,10,11.0,2,1,2,0,1,0,31,29,0,0,0,2.0,,,1,3,0,0,0,0,0,2,2,16,8,16,13,0,5,57,23
781,823,2,24,2,12,4,7,3,52,2,24,1,3,4,9,9,10.0,11.0,11,10.0,1,2,0,0,1,0,24,6,0,2,8,,,,0,0,0,0,0,0,0,1,1,16,13,17,21,1,8,43,67
782,824,1,52,1,40,2,6,1,8,2,7,3,1,1,10,10,11.0,11.0,8,,1,1,1,1,0,0,27,24,2,1,1,,,,1,2,0,0,0,0,0,1,2,17,21,20,21,3,0,98,49
783,825,2,16,3,8,2,3,3,12,4,2,2,1,4,9,9,11.0,11.0,8,,1,1,1,0,0,0,6,5,0,0,0,,,,2,2,0,0,0,0,0,1,2,20,21,22,21,2,0,27,21
784,826,1,8,1,7,2,7,1,12,4,2,3,1,2,9,11,9.0,9.0,11,10.0,2,1,1,0,0,0,0,5,0,0,0,,,,0,0,0,0,0,0,0,1,1,22,21,23,21,1,0,22,20
785,827,2,3,2,3,3,1,4,2,1,1,3,1,1,10,9,9.0,11.0,10,9.0,1,2,1,0,0,0,6,5,0,0,0,,,,0,0,0,0,0,0,0,1,1,23,21,24,21,1,0,7,6
786,828,1,8,4,7,3,6,3,24,1,16,4,1,3,10,11,8.0,10.0,8,9.0,2,1,1,2,0,0,0,26,0,2,2,,,,1,2,0,0,0,0,2,1,1,24,21,25,23,1,2,21,32
787,829,1,40,2,7,1,6,4,24,1,3,3,1,1,10,11,9.0,10.0,11,9.0,2,1,1,1,0,0,20,6,2,1,1,,,,2,1,1,2,0,0,0,1,3,2,2,6,2,4,0,53,32
788,830,2,8,2,6,2,3,1,50,2,16,4,2,1,8,1,8.0,1.0,8,1.0,2,2,2,2,0,0,26,27,0,0,0,1.0,,,2,1,0,0,0,0,1,2,1,6,2,9,3,3,1,17,58
789,831,1,42,1,6,4,2,3,16,2,8,1,3,3,10,10,11.0,11.0,9,9.0,2,1,2,0,0,2,7,26,1,2,1,,,,2,1,1,2,2,3,0,2,4,9,3,9,8,0,5,50,25
790,832,2,3,1,1,4,1,1,24,3,6,1,3,3,8,11,8.0,1.0,8,1.0,2,2,2,0,0,0,6,23,0,0,0,,,,0,0,0,0,0,0,0,2,1,9,8,9,9,0,1,5,28
