,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
2593,2747,2,40,2,3,2,2,2,16,3,3,3,2,4,10,9,9.0,10.0,11,11.0,1,2,1,1,0,0,32,6,2,1,1,,,,2,3,1,3,0,0,0,1,3,9,2,13,2,4,0,45,21
2594,2748,1,40,2,16,1,6,1,8,4,7,1,2,3,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,7,20,1,2,1,,,,2,3,1,3,2,3,0,1,4,13,2,17,3,4,1,62,26
2597,2751,2,24,3,8,2,1,3,16,3,7,4,2,4,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,23,27,1,2,1,,,,2,3,1,3,0,0,0,1,3,18,7,21,8,3,1,33,26
2598,2752,1,24,1,16,4,4,4,16,2,6,3,1,4,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,7,24,1,2,1,,,,2,2,1,3,0,0,0,1,3,21,8,24,9,3,1,44,33
2602,2758,1,50,4,8,1,3,3,16,4,8,1,6,1,10,11,11.0,10.0,9,9.0,2,1,2,0,0,0,21,22,0,0,0,,,,1,2,0,0,0,0,0,2,2,2,6,2,8,0,2,61,30
2607,2763,2,24,3,12,2,6,3,16,3,8,2,4,3,9,9,10.0,11.0,11,10.0,1,2,1,2,0,0,24,27,0,2,2,,,,2,3,1,3,0,0,0,1,3,5,16,8,18,3,2,42,32
2609,2766,2,16,4,8,2,2,3,24,3,12,1,2,4,9,11,11.0,10.0,10,9.0,2,1,1,1,0,0,5,5,2,1,1,,,,2,3,0,0,0,0,0,1,2,3,1,6,1,3,0,26,34
2611,2768,2,24,4,16,3,8,2,50,2,6,4,1,3,9,9,10.0,11.0,11,10.0,1,2,1,0,0,0,3,4,0,0,0,,,,1,3,0,0,0,0,0,1,2,6,2,8,2,2,0,48,67
2619,2777,1,52,1,40,3,8,1,16,2,16,2,1,1,9,10,10.0,10.0,11,9.0,2,1,1,2,0,0,7,26,1,2,1,,,,2,1,1,1,0,0,0,1,3,1,8,4,9,3,1,100,57
2630,2789,1,42,1,8,4,2,3,24,1,8,1,3,3,10,11,11.0,10.0,9,9.0,2,1,2,1,0,2,27,26,1,2,2,,,,2,1,0,0,0,0,0,2,2,13,8,13,12,0,4,52,35
2637,2796,2,40,2,7,3,6,3,52,1,16,1,1,4,9,9,10.0,10.0,11,11.0,1,2,2,0,0,2,7,4,1,2,1,,,,2,2,0,0,0,0,0,2,2,22,17,22,20,0,3,53,60
2639,2799,1,16,3,3,4,2,1,8,2,7,4,4,4,11,9,9.0,10.0,10,11.0,1,2,2,0,0,2,6,27,1,2,1,,,,1,3,0,0,0,0,0,2,2,3,1,3,4,0,3,21,15
2643,2803,1,24,4,16,4,2,4,6,4,4,1,4,3,10,9,9.0,9.0,11,11.0,1,2,1,0,0,0,30,7,0,0,0,1.0,,,2,3,1,3,0,0,0,1,3,5,9,11,9,6,0,42,26
2647,2807,1,40,2,24,1,3,3,16,2,16,1,2,1,10,9,9.0,10.0,11,10.0,1,2,1,1,0,2,30,27,0,1,5,,,,2,2,1,3,0,0,0,1,3,15,15,23,15,8,0,67,42
2649,2809,1,24,1,16,4,3,4,16,2,6,3,1,3,10,9,9.0,10.0,11,11.0,1,2,1,0,0,2,6,26,1,2,1,,,,2,3,1,3,2,3,0,1,4,23,17,24,18,1,1,43,33
2650,2811,2,50,4,24,2,6,4,24,1,16,4,16,1,11,11,9.0,9.0,10,9.0,1,2,1,2,0,0,3,25,1,2,1,,,,1,3,0,0,0,0,0,1,2,0,2,2,3,2,1,80,64
2651,2812,1,52,1,7,1,2,3,24,1,7,1,7,4,10,11,11.0,9.0,9,9.0,2,1,2,0,0,0,26,3,0,0,0,1.0,,,0,0,0,0,0,0,0,2,1,2,3,5,4,3,1,61,38
2659,2820,1,24,3,8,1,7,2,16,4,3,2,1,1,11,9,10.0,11.0,9,10.0,1,2,1,2,0,1,3,28,2,1,2,,,,0,0,0,0,0,0,0,1,1,0,0,3,0,3,0,39,25
2660,2821,2,24,2,16,1,7,2,52,4,8,1,7,4,10,9,11.0,11.0,9,10.0,1,2,2,0,0,0,3,1,0,0,0,,,,1,1,0,0,0,0,0,2,2,3,0,3,2,0,2,47,75
2663,2824,1,40,2,3,1,2,4,24,1,8,2,1,1,10,10,9.0,9.0,11,11.0,2,1,1,1,0,0,31,4,2,1,1,,,,1,3,0,0,0,0,0,1,2,8,3,11,3,3,0,45,28
2666,2827,2,6,4,2,1,1,2,3,2,3,4,1,3,11,10,9.0,10.0,10,9.0,1,2,1,0,0,0,5,6,0,0,0,,,,0,0,0,0,0,0,0,1,1,13,6,14,6,1,0,9,6
2671,2832,1,16,3,12,1,6,3,40,3,24,2,2,1,11,10,9.0,9.0,10,11.0,2,1,2,0,0,0,23,7,0,0,0,,,,2,3,0,0,0,0,0,2,2,18,10,18,12,0,2,34,54
2677,2839,1,50,4,24,1,3,3,24,3,12,1,6,1,10,9,9.0,10.0,11,11.0,1,2,1,2,0,0,6,23,1,2,1,,,,2,3,1,3,0,0,0,1,3,1,2,4,3,3,1,77,54
2680,2842,2,50,4,3,2,3,3,7,3,6,2,2,4,9,9,9.0,10.0,11,11.0,1,2,1,1,0,0,6,5,2,1,1,,,,2,3,1,3,0,0,0,1,3,5,8,9,8,4,0,56,12
2681,2843,1,24,2,24,2,12,1,16,1,16,2,6,2,10,9,9.0,10.0,10,10.0,1,2,1,2,0,0,24,22,0,1,2,,,,2,2,1,3,0,0,0,1,3,9,8,14,8,5,0,60,46
